window_flank,sequence_length,model,accuracy,macro_precision,macro_recall,macro_f1,auroc,auprc,donor_f1,acceptor_f1,non_splice_f1,hard_negative_fpr
50,101,CNN baseline (PyTorch Conv1D),0.8329466357308585,0.8386236072715088,0.8410391713574653,0.8335554988083077,0.9513288699346066,0.9106444369156096,0.9213483146067416,0.8375,0.7418181818181818,0.3419354838709677
50,101,RNA-FM frozen encoder + MLP,0.8004640371229699,0.8018819676756824,0.8030602888817442,0.8024214527686343,0.9157585981463611,0.844839335564255,0.8199233716475096,0.8600682593856656,0.7272727272727273,0.27741935483870966
50,101,RNABERT frozen encoder + MLP,0.8120649651972158,0.8115840911316331,0.8190966108874158,0.8135776697366452,0.9285216165121574,0.8643611309813893,0.8823529411764706,0.825503355704698,0.7328767123287672,0.3096774193548387
100,201,CNN baseline (PyTorch Conv1D),0.8120649651972158,0.8205078794107571,0.820501043628254,0.8109403161151943,0.9470964798793089,0.904703959759618,0.8955223880597015,0.8256880733944955,0.7116104868913857,0.3870967741935484
100,201,RNA-FM frozen encoder + MLP,0.7610208816705336,0.7612241916634203,0.7666658161138923,0.7634059982700908,0.9060000739007884,0.8125848204230267,0.8226415094339623,0.8053691275167785,0.6622073578595318,0.36129032258064514
100,201,RNABERT frozen encoder + MLP,0.8306264501160093,0.8307511915146458,0.8375189035354076,0.8323089172445841,0.9392172192026447,0.8885234763011395,0.9037037037037037,0.8372093023255814,0.7560137457044673,0.2903225806451613
200,401,CNN baseline (PyTorch Conv1D),0.8167053364269141,0.8227024458749774,0.8248844524056184,0.8168965688145491,0.9467408078906777,0.9044955104256998,0.9029850746268657,0.822429906542056,0.7252747252747253,0.36129032258064514
200,401,RNA-FM frozen encoder + MLP,0.7842227378190255,0.7857986630918047,0.7884052645814514,0.7869068064474994,0.9180583307278081,0.8438983615486091,0.8257575757575758,0.8356164383561644,0.6993464052287581,0.3096774193548387
200,401,RNABERT frozen encoder + MLP,0.814385150812065,0.8146997929606625,0.82108248150473,0.814936773046732,0.9308062722646602,0.8733389364583305,0.8773234200743495,0.8376623376623377,0.7298245614035088,0.32903225806451614
400,801,CNN baseline (PyTorch Conv1D),0.8190255220417634,0.8284062246163053,0.8273860982252366,0.8186452372026408,0.9466235339412826,0.9051930749270573,0.9063670411985019,0.8256880733944955,0.7238805970149254,0.3741935483870968
400,801,RNA-FM frozen encoder + MLP,0.7842227378190255,0.7879500272331156,0.7880541563962419,0.7879605142899565,0.9094830318356091,0.8332946858181604,0.8482490272373541,0.8013468013468014,0.7142857142857143,0.2903225806451613
400,801,RNABERT frozen encoder + MLP,0.8468677494199536,0.8471835835284396,0.8513417470013761,0.8476675158786359,0.9353613435787901,0.881476611797774,0.8863636363636364,0.8758169934640523,0.7808219178082192,0.2645161290322581
