window_flank,model,seeds,runs,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std,hard_negative_fpr_mean,hard_negative_fpr_std
50,CNN baseline (PyTorch Conv1D),"42,43,44",3,0.8360402165506574,0.0048298515068819535,0.8387305820810024,0.006562094371899406,0.9504342155575537,0.0007553498702821031,0.9085432040551867,0.001855211782852899,0.25806451612903225,0.09741721851962258
50,RNA-FM frozen encoder + MLP,"42,43,44",3,0.8004640371229699,0.0,0.8024214527686343,0.0,0.9157585981463611,0.0,0.844839335564255,0.0,0.27741935483870966,0.0
50,RNABERT frozen encoder + MLP,"42,43,44",3,0.8120649651972158,0.0,0.8135776697366452,0.0,0.9285216165121574,0.0,0.8643611309813893,0.0,0.3096774193548387,0.0
100,CNN baseline (PyTorch Conv1D),"42,43,44",3,0.8159319412219644,0.003544142068798005,0.8188296024088343,0.006845180866801722,0.9478664059446417,0.0012541323115310978,0.9056006473099192,0.0019360319619472189,0.2860215053763441,0.09222271674146909
100,RNA-FM frozen encoder + MLP,"42,43,44",3,0.7610208816705336,0.0,0.7634059982700908,0.0,0.9060000739007884,0.0,0.8125848204230267,0.0,0.36129032258064514,0.0
100,RNABERT frozen encoder + MLP,"42,43,44",3,0.8306264501160093,0.0,0.8323089172445841,0.0,0.9392172192026447,0.0,0.8885234763011395,0.0,0.2903225806451613,0.0
200,CNN baseline (PyTorch Conv1D),"42,43,44",3,0.8267594740912606,0.007088284137596022,0.8292002189407924,0.008438537016734258,0.9470688372611512,0.0010134224156024064,0.9044177977653751,0.0009768644142947105,0.29677419354838713,0.05512260480850022
200,RNA-FM frozen encoder + MLP,"42,43,44",3,0.7842227378190255,0.0,0.7869068064474994,0.0,0.9180583307278081,0.0,0.8438983615486091,0.0,0.3096774193548387,0.0
200,RNABERT frozen encoder + MLP,"42,43,44",3,0.8143851508120651,1.3597399555105182e-16,0.814936773046732,0.0,0.9308062722646602,0.0,0.8733389364583305,0.0,0.32903225806451614,0.0
400,CNN baseline (PyTorch Conv1D),"42,43,44",3,0.8213457076566125,0.002320185614849146,0.8237621866207676,0.004467481450551758,0.9463027208481728,0.0005872759168624148,0.9033934326881278,0.001964350833765322,0.3010752688172043,0.07777695191408657
400,RNA-FM frozen encoder + MLP,"42,43,44",3,0.7842227378190255,0.0,0.7879605142899565,0.0,0.9094830318356091,0.0,0.8332946858181604,0.0,0.2903225806451613,0.0
400,RNABERT frozen encoder + MLP,"42,43,44",3,0.8468677494199536,0.0,0.8476675158786359,0.0,0.9353613435787901,0.0,0.881476611797774,0.0,0.2645161290322581,0.0
