model,auroc,auprc,top_k,top_k_recall,enrichment_at_k,variants
RNABERT zero-shot token distance,0.9989880952380953,0.9993073736942761,46.0,0.16428571428571428,1.6428571428571428,460
RNA-FM zero-shot embedding distance,0.9986111111111111,0.9991121633215845,46.0,0.16428571428571428,1.6428571428571428,460
RNABERT zero-shot pseudo-likelihood,0.8875496031746031,0.9440588843662465,46.0,0.16428571428571428,1.6428571428571428,460
RNA-FM zero-shot pseudo-likelihood,0.8791170634920635,0.9394343617111289,46.0,0.16428571428571428,1.6428571428571428,460
SpliceAI signal proxy,0.817767857142857,0.904798478096642,46.0,0.16428571428571428,1.6428571428571428,460
Pangolin optional tool (small case-study proxy),0.8339285714285714,0.8864628443855787,46.0,0.16428571428571428,1.6428571428571428,460
SpliceAI optional real tool (proxy fallback),0.8321428571428572,0.881371424614749,46.0,0.16428571428571428,1.6428571428571428,460
MMSplice optional tool (proxy fallback),0.8285714285714285,0.8773209203671083,46.0,0.16428571428571428,1.6428571428571428,460
MaxEntScan optional tool (proxy fallback),0.8285714285714285,0.8773209203671083,46.0,0.16428571428571428,1.6428571428571428,460
CNN motif baseline,0.8196428571428571,0.8678425967125599,46.0,0.16428571428571428,1.6428571428571428,460
RNABERT frozen token + MLP,0.6829166666666667,0.818337644868232,46.0,0.16071428571428573,1.607142857142857,460
RNA-FM frozen k-mer + MLP,0.5957539682539683,0.7584494404457676,46.0,0.16428571428571428,1.6428571428571428,460
