model,auroc,auprc,top_k,top_k_recall,enrichment_at_k,variants
RNABERT zero-shot token distance,1.0,1.0,2.0,0.3333333333333333,2.0,12
RNA-FM zero-shot embedding distance,1.0,1.0,2.0,0.3333333333333333,2.0,12
SpliceAI signal proxy,0.9166666666666667,0.9166666666666666,2.0,0.3333333333333333,2.0,12
RNA-FM zero-shot pseudo-likelihood,0.7222222222222222,0.8409090909090908,2.0,0.3333333333333333,2.0,12
RNABERT zero-shot pseudo-likelihood,0.6666666666666667,0.8257575757575757,2.0,0.3333333333333333,2.0,12
Pangolin optional tool (small case-study proxy),0.75,0.75,2.0,0.3333333333333333,2.0,12
RNABERT frozen token + MLP,0.5,0.6757575757575757,2.0,0.3333333333333333,2.0,12
MMSplice optional tool (proxy fallback),0.6666666666666666,0.6666666666666667,2.0,0.3333333333333333,2.0,12
MaxEntScan optional tool (proxy fallback),0.6666666666666666,0.6666666666666667,2.0,0.3333333333333333,2.0,12
SpliceAI optional real tool (proxy fallback),0.6666666666666666,0.6666666666666666,2.0,0.3333333333333333,2.0,12
RNA-FM frozen k-mer + MLP,0.5,0.6452020202020202,2.0,0.16666666666666666,1.0,12
CNN motif baseline,0.5833333333333334,0.6439393939393938,2.0,0.3333333333333333,2.0,12
